DID,Name of Donor,Multilateral,DAC Bilateral,Non-DAC Bilateral,Q14_All,Q14_Rank,Q14_Percent,Q21_All,Q21_Rank,Q21_Percent,Q25_All,Q25_Rank,Q25_Percent,Q14_C1,Q14_C2,Q14_C3,Q14_C4,Q14_C5,Q14_C6,Q14_C7,Q14_C8,Q14_C9,Q14_C10,Q14_C11,Q14_C12,Q14_C13,Q14_C14,Q14_C15,Q14_C16,Q14_C17,Q14_C18,Q14_C19,Q14_C20,Q14_C21,Q14_C22,Q14_C23,Q14_C24,Q14_C25,Q14_C26,Q14_C27,Q14_C28,Q14_C29,Q14_C30,Q14_C31,Q14_C32,Q14_C33,Q14_C34,Q14_C35,Q14_C36,Q14_C37,Q14_C38,Q14_C39,Q14_C40,Q14_C41,Q14_C42,Q14_C43,Q14_C44,Q14_C45,Q14_C46,Q14_C47,Q14_C48,Q14_C49,Q14_C50,Q14_C51,Q14_C52,Q14_C53,Q14_C54,Q14_C55,Q14_C56,Q14_C57,Q14_C58,Q14_C59,Q14_C60,Q14_C61,Q14_C62,Q14_C63,Q14_C64,Q14_C65,Q14_C66,Q14_C67,Q14_C68,Q14_C69,Q14_C70,Q14_C71,Q14_C72,Q14_C73,Q14_C74,Q14_C75,Q14_C76,Q14_C77,Q14_C78,Q14_C79,Q14_C80,Q14_C81,Q14_C82,Q14_C83,Q14_C84,Q14_C85,Q14_C86,Q14_C87,Q14_C88,Q14_C89,Q14_C90,Q14_C91,Q14_C92,Q14_C93,Q14_C94,Q14_C95,Q14_C96,Q14_C97,Q14_C98,Q14_C99,Q14_C100,Q14_C101,Q14_C102,Q14_C103,Q14_C104,Q14_C105,Q14_C106,Q14_C107,Q14_C108,Q14_C109,Q14_C110,Q14_C111,Q14_C112,Q14_C113,Q14_C114,Q14_C115,Q14_C116,Q14_C117,Q14_C118,Q14_C119,Q14_C120,Q14_C121,Q14_C122,Q14_C123,Q14_C124,Q14_C125,Q14_C126,Q21_C1,Q21_C2,Q21_C3,Q21_C4,Q21_C5,Q21_C6,Q21_C7,Q21_C8,Q21_C9,Q21_C10,Q21_C11,Q21_C12,Q21_C13,Q21_C14,Q21_C15,Q21_C16,Q21_C17,Q21_C18,Q21_C19,Q21_C20,Q21_C21,Q21_C22,Q21_C23,Q21_C24,Q21_C25,Q21_C26,Q21_C27,Q21_C28,Q21_C29,Q21_C30,Q21_C31,Q21_C32,Q21_C33,Q21_C34,Q21_C35,Q21_C36,Q21_C37,Q21_C38,Q21_C39,Q21_C40,Q21_C41,Q21_C42,Q21_C43,Q21_C44,Q21_C45,Q21_C46,Q21_C47,Q21_C48,Q21_C49,Q21_C50,Q21_C51,Q21_C52,Q21_C53,Q21_C54,Q21_C55,Q21_C56,Q21_C57,Q21_C58,Q21_C59,Q21_C60,Q21_C61,Q21_C62,Q21_C63,Q21_C64,Q21_C65,Q21_C66,Q21_C67,Q21_C68,Q21_C69,Q21_C70,Q21_C71,Q21_C72,Q21_C73,Q21_C74,Q21_C75,Q21_C76,Q21_C77,Q21_C78,Q21_C79,Q21_C80,Q21_C81,Q21_C82,Q21_C83,Q21_C84,Q21_C85,Q21_C86,Q21_C87,Q21_C88,Q21_C89,Q21_C90,Q21_C91,Q21_C92,Q21_C93,Q21_C94,Q21_C95,Q21_C96,Q21_C97,Q21_C98,Q21_C99,Q21_C100,Q21_C101,Q21_C102,Q21_C103,Q21_C104,Q21_C105,Q21_C106,Q21_C107,Q21_C108,Q21_C109,Q21_C110,Q21_C111,Q21_C112,Q21_C113,Q21_C114,Q21_C115,Q21_C116,Q21_C117,Q21_C118,Q21_C119,Q21_C120,Q21_C121,Q21_C122,Q21_C123,Q21_C124,Q21_C125,Q21_C126,Q25_C1,Q25_C2,Q25_C3,Q25_C4,Q25_C5,Q25_C6,Q25_C7,Q25_C8,Q25_C9,Q25_C10,Q25_C11,Q25_C12,Q25_C13,Q25_C14,Q25_C15,Q25_C16,Q25_C17,Q25_C18,Q25_C19,Q25_C20,Q25_C21,Q25_C22,Q25_C23,Q25_C24,Q25_C25,Q25_C26,Q25_C27,Q25_C28,Q25_C29,Q25_C30,Q25_C31,Q25_C32,Q25_C33,Q25_C34,Q25_C35,Q25_C36,Q25_C37,Q25_C38,Q25_C39,Q25_C40,Q25_C41,Q25_C42,Q25_C43,Q25_C44,Q25_C45,Q25_C46,Q25_C47,Q25_C48,Q25_C49,Q25_C50,Q25_C51,Q25_C52,Q25_C53,Q25_C54,Q25_C55,Q25_C56,Q25_C57,Q25_C58,Q25_C59,Q25_C60,Q25_C61,Q25_C62,Q25_C63,Q25_C64,Q25_C65,Q25_C66,Q25_C67,Q25_C68,Q25_C69,Q25_C70,Q25_C71,Q25_C72,Q25_C73,Q25_C74,Q25_C75,Q25_C76,Q25_C77,Q25_C78,Q25_C79,Q25_C80,Q25_C81,Q25_C82,Q25_C83,Q25_C84,Q25_C85,Q25_C86,Q25_C87,Q25_C88,Q25_C89,Q25_C90,Q25_C91,Q25_C92,Q25_C93,Q25_C94,Q25_C95,Q25_C96,Q25_C97,Q25_C98,Q25_C99,Q25_C100,Q25_C101,Q25_C102,Q25_C103,Q25_C104,Q25_C105,Q25_C106,Q25_C107,Q25_C108,Q25_C109,Q25_C110,Q25_C111,Q25_C112,Q25_C113,Q25_C114,Q25_C115,Q25_C116,Q25_C117,Q25_C118,Q25_C119,Q25_C120,Q25_C121,Q25_C122,Q25_C123,Q25_C124,Q25_C125,Q25_C126,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PGC1,Q14_PGC2,Q14_PGC3,Q21_PGC1,Q21_PGC2,Q21_PGC3,Q22_PT1,Q22_PT2,Q22_PT3,Q22_PT4,Q22_PT5,Q22_PT6,Q22_PT7,Q22_PT8,Q22_PT9,Q22_PT10,Q22_PT11,Q22_PT12,Q22_PT13,Q22_PT14,Q22_PT15,Q22_PT16
1,African_Development_Bank,1,,,3.287178,22,37.50%,2.4015771,15,25.00%,3.2374689,22,42.00%,,,,3.625,,,,,,4,,,,,,,3.5625,3.5833333,,2.75,3.5555556,4.4166667,3.5555556,,,3.4166667,3.5833333,2.875,3.6666667,,3.875,,,2.2916667,,,,3.9583333,,3.2291667,,2.5,,3.65,4.3333333,,,,,,,,,,,3.3875,,,,,,,3.8888889,3.0902778,,2.8,3.2857143,,3.3730159,,3.7083333,,,,,2,2.8125,,,,,3.6770833,3.8333333,,,,,,,,,3.1666667,,,2.375,,3.5833333,,,,,,,1.9444444,,3.2222222,,,3.875,,,2.4166666,,2.1111111,,,,3.6964286,,,,,,3.3229167,,3.3055555,,,,1.5,,,,,,2.5,,,,,,,3.025,3.0208333,,1.975,4,3.0208333,2.0666667,,,3.1666667,2.275,2,2.65625,,2.3,,,1.5625,,,,2.625,,3.6984127,,2.8055556,,2.55,3.0666666,,,,,,,,,,,2.4916666,,,,,,,2.9444444,2.8642628,,2.6875,2.6875,,2.6979167,,1.8,,,,,1.3571429,3.05,,,,,2.8333333,2.5208333,,,,,,,,,3.2916667,,2.4444444,2.2083333,,2.7541667,,1.2222222,,1,2.2222222,,2.2708333,,2.5833333,,,2.15625,,,3.175,,1.9583333,,,,2.9922619,,,,,,1.5,,2.9523809,,,,,,,,,,,,,,,,,3.2833333,3.95,,3.1666667,,3.2,2.2222222,,,4,2.3055556,,3.75,,,,,,,,,3.5,,4.3333333,,2.7083333,,3.9166666,3.625,,,,,,,,,,,3.0416667,,,,,,,,3.2857143,,4,3.5071429,,2.8888889,,,,,,,2.6333333,3.7291667,,,,,2.6,2.75,,,,,,,,,4.1388889,,,2.9583333,,3.4375,,,,,,,3.5,,,,,3.75,,,3.7222222,,2.125,,,,3.6041667,,,,,,2.95,,2.7777778,3.4122807,2.71875,3.5,2.9393939,4.0625,3.2654321,3,,2.9285714,2,3.4038462,3.5,3.5277778,,3.9777778,,2.9166667,,3.5555556,,3.0833333,2.625,3.175,3.321489,3.327381,3.1240079,2.7438538,2.5172932,2.275,2.396825,2.024074,2.471154,2.434211,2.236765,,2.808135,1.976563,2.747368,2.01282,2.078947,2.277778,2.033333,2.555556,1.772727,1.857143
2,Andean_Development_Corporation,1,,,2.2994792,52,91.07%,2.0520833,29,50.00%,3.375,16,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,1.875,,,,,,,,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333,2.6041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.375,,,,,,,,,,,,,1.541667,,,,,,,0.875,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,2.4047619,1.375,2.65,2.0333333,1.625,2.3333333,,,1.888889,,1.5,,1.541667,,,,,,,,,
3,Arab_Bank_for_Economic_Development_in_Africa,1,,,2.4368687,49,85.71%,1.3243243,49,85.71%,2.8823529,37,72.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.666667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.6,,,,,,,2.625,,,3.333333,,,,,,,,,2.442029,,2.4,1.1590909,0.42857143,1.9166667,1,,,,,,1,,2.333333,,,1.133333,,,,
4,Arab_Fund_for_Economic_and_Social_Development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Arab_Monetary_Fund,1,,,2.5534188,47,82.14%,1.6875,36,62.50%,3,33,64.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.583333,3,,,,,,,,,,,,,,,,,,,,,,2.4583333,,,1.7727273,,1.0833333,,,,,,,,,,,,,,,,
6,Asian_Development_Bank,1,,,3.3939771,17,28.57%,2.6885323,6,8.93%,3.5198951,6,10.00%,2.905303,,,,3.1666667,,3.6166667,,,,3.6333333,,,,,,,,2.686508,,,,,,,,,,,,,,,,,,,,,,3.7083333,,,,,,,,,2.9450758,,,,,,,3.0555555,,,,2.9444445,3.1666667,,,,,,3.8333333,,,,,,3.9,,,,3.625,,3.3055556,,,,3.1458334,,,,,4.0902778,,,,4.5,,,,,3.5,,,,,3.6666667,,,,,,,,2.3333333,,,,,,2.6111111,,,,3.8888889,3.5,,,,,2.7159091,,,,2.175,2.3333333,3.1638889,,,,3.1222222,,,,,,,,3.1188726,,,,,,,,,,,,,,,,,,,,2,,2.6659091,,,,,,,,2.7,2.5890151,,,,,1.5555555,,3.6111111,,,,3.15,3.5555556,,,,,,1.1666667,,3,,,,3.7222222,,,,2.1111111,,3.0106061,,,,2.7571429,,3.4166667,,,3.1026243,,,,3.275,,,,,2.1666667,,,,,2.3333333,,,,,3.0625,,2.1666667,2.5833333,,,,,,4.0833333,,,2.8125,1.83125,3.2291667,,,,,3.1785714,,,,,,2.8958333,,,,3.65,,,,,,,,3.9270833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8083333,,,,,,,3.5,,,,3.0416667,,,,,,,3,,,,,,3.75,,,,3.75,,3.264881,,,,4.1111111,,,,,3.7410714,,,,3.8888889,,,,,4.3333333,,,,,,,,,,,,,,,,,,,3.4166667,,,,3.4666667,3.8888889,,,,,3.9842593,4.3939394,3.2333333,3.0909091,3.5,2.9333333,3.2261905,,3.1428571,,2.9615385,2.9722222,3.95,,3.0601852,3.3333333,3.0151515,,3.6944444,,2.25,3.375,3.6923077,3.6552471,3.5560967,2.9584502,3.1376852,2.8553404,2.87584,2.820833,2.675231,2.710318,3.25,2.566964,,2.605392,2.67803,2.780303,2.683333,2.583333,2.724034,3.125,3.05,2.5,2.916667
7,Australia,,1,,2.5609448,46,80.36%,1.5347257,43,75.00%,2.9378739,35,68.00%,1.7916667,,,,,,2.3333333,,,,,,,,,,,,2.1428571,,,,,,,,,,,,,,,,,,,,4.6,3.2222222,,,,,,,,,,2.9969697,,2.625,,1.5,,,2.9583333,,,,,3,,,,,2.25,,,,,2.6666666,,,,,,2.75,,2.3888889,,,,2.3888889,2.5833333,3.0793651,,2,3.5110294,,,,3.7678571,,,,,2.4166667,,,,,,,,,,,,,4.15,,3.675,,,,3.9888889,,,,3.7291667,2.6666667,,,,,1.9699495,,,,,,1.4027778,,,,,,,,,,,,2.777868,,,,,,0.66666667,,,,,,,,,,,,,1.2777778,1.5595238,2.1111111,,3.625,,,,,,,,2.2892774,,1.7619048,,0.6875,,1.8333333,3.6577381,,,,,3.5166667,,2,,,1.675,,,3.4722222,,1,,2.3333333,,,,2.1428571,,1.2170329,,,,1.0833333,1.6222222,3.3416667,,1,2.4816667,,,,3.40625,,,,,3.3791667,,,2,,2.1875,,,,,,,,2.9642857,,3.4041667,,,,3.5416667,,,,3.483066,2.4583333,,,,2.5444444,1.4666667,,,,,,1.6666667,,,,,,,,,,,,2.8777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9513889,,,,,,,4.1041667,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,4.0555556,,,3.3833333,,,,3.6375,,,,,3.7083333,,,,,,,,,,,,,3.125,,4.6111111,,,,3.1666667,,,,4.15625,,,,,,3.1666667,2.3333333,2.9166667,3.4285714,2,2.8068182,3.1842105,2.9,3.25,,3.2454546,2.75,3.2222222,,3.169697,1.7777778,2.8465609,2.75,3.0277778,2.625,3.6,,3.2777778,2.7219888,2.8218674,2.8866962,1.8104518,1.9922811,2.2357416,1.834308,1.743707,1.570513,1.74359,1.468687,1.7,1.400667,2.023198,2.431372,1.518518,1.897436,1.646073,1.614583,1.5,2.253333,3.305556
10,Austria,,1,,3.6174273,8,12.50%,1.7938558,33,57.14%,3.0216667,32,62.00%,,,,,,,,,,,1.75,,3.625,,,1.8888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,3.9619048,,,,,,,,3.3333333,,3,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,1.9583333,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0333334,,,,,,2.1383929,,,,,,,,2.4583333,,2.25,,,,,,,,,,,,,,,,,,,,,1.9444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0555555,2.8333333,,4,,,,3.8888889,,,,,,,,,3.5,,,,2.9777778,3.375,3.675,1.8472222,2.6696429,2.3333333,1.979167,1.65,1.083333,,1.625,,1.357143,1.527778,,1.111111,,1.064815,,,,
13,Bank_of_the_South,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Belgium,,1,,2.7729067,39,67.86%,1.7477154,34,58.93%,3.0773686,28,54.00%,,,,,,,,,,3.75,,,,,,,,3.4880953,,,,,,,,,3.6777778,,,,,,1.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7708333,,,,,,,2.2083333,2.6666667,,,,,2.3333333,,,1.6964286,,,3.125,,,,3.7083333,,,2.8333333,,,,,,,,,,,,,,,,,,,,,,,3.5333333,,,,,,,,,,,1.5555556,,,,,,,2.25,,,,,,,,3.28125,,,,,,,,,2.7875,,,,,,1.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2083333,,,,,,,0.50000001,2.8888889,,,,,1.9711538,,,2.3511905,,,1.3333333,,,,2.7694444,,,2.7083333,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,2.75,,,,,,,,,,,,,,,,,,,,,,4.110119,,,,,,,,,2.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666667,,,,,,,,,,,,,2.8333333,,,,,,,,,,3.35,,,3.75,,,,,,,,,,,,,,,,,,,,,,,3.1111111,,,,,,,,,3.2,,2.25,,2.6875,3.3122711,3.4166667,,,,,3.1,,,3.3888889,4.1666667,,,2.3333333,,,,2.125,3.0512821,2.2704861,3.374127,1.7638889,2.1377778,2.8307407,1.696759,2.464286,1.981482,3.277778,1.530556,,2.272436,2.458333,1.875,,2.404762,2.412037,1.520833,,2.291667,
17,Bolivarian_Alliance_for_the_Peoples_of_Our_America,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brazil,,,1,2.6006944,43,75.00%,1.4827591,45,78.57%,2.8270202,40,78.00%,,,,,,,,,3.1333333,,,1.3333334,,,,,,,,,,,,,3,,,,,,,1.75,2.35,,,,,,,,,,2.6375,,2.6222222,3,2.8,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2.25,,,,,,,,,,1.7833333,1.9166667,,,,,,,,,,,,,,,,,3.0555556,,,,,,2.6666666,,,,,,,,,,,,,3,,,,,,1.6666667,,,,,2.1555555,,,2.8333333,,,,,,,,,1.7222222,,,,1.375,,,,,,,1.4,,,2.25,,,,,1.375,,4.125,1.4375,,2.225,1.2916667,1.9729167,,,,,,,,,,,,,,,,,1.2222223,,,,,,,,,,,,,2.5555556,,,,,,,,,,2.1416667,1.4583333,,,,,,1.5625,0.83333333,,,,,,,,,,1.6666667,,,,,,3.3333333,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.3809524,3.5,2,2.5,3.1136364,3.4,,2.9666667,,2.5714286,2.3055556,,,,,,2.3333333,2.0833333,2.2916667,,,,2.652,2.0977778,2.8880952,1.1395062,1.3214286,1.8470238,1.595,1.130952,1.616667,1.5,1.118827,,0.9632353,1.692308,1.4,1.375,1.194444,1.366667,1.5,,3.25,2.125
