DID,Name of Donor,Multilateral,DAC Bilateral,Non-DAC Bilateral,Q14_All,Q14_Rank,Q14_Percent,Q21_All,Q21_Rank,Q21_Percent,Q25_All,Q25_Rank,Q25_Percent,Q14_C1,Q14_C2,Q14_C3,Q14_C4,Q14_C5,Q14_C6,Q14_C7,Q14_C8,Q14_C9,Q14_C10,Q14_C11,Q14_C12,Q14_C13,Q14_C14,Q14_C15,Q14_C16,Q14_C17,Q14_C18,Q14_C19,Q14_C20,Q14_C21,Q14_C22,Q14_C23,Q14_C24,Q14_C25,Q14_C26,Q14_C27,Q14_C28,Q14_C29,Q14_C30,Q14_C31,Q14_C32,Q14_C33,Q14_C34,Q14_C35,Q14_C36,Q14_C37,Q14_C38,Q14_C39,Q14_C40,Q14_C41,Q14_C42,Q14_C43,Q14_C44,Q14_C45,Q14_C46,Q14_C47,Q14_C48,Q14_C49,Q14_C50,Q14_C51,Q14_C52,Q14_C53,Q14_C54,Q14_C55,Q14_C56,Q14_C57,Q14_C58,Q14_C59,Q14_C60,Q14_C61,Q14_C62,Q14_C63,Q14_C64,Q14_C65,Q14_C66,Q14_C67,Q14_C68,Q14_C69,Q14_C70,Q14_C71,Q14_C72,Q14_C73,Q14_C74,Q14_C75,Q14_C76,Q14_C77,Q14_C78,Q14_C79,Q14_C80,Q14_C81,Q14_C82,Q14_C83,Q14_C84,Q14_C85,Q14_C86,Q14_C87,Q14_C88,Q14_C89,Q14_C90,Q14_C91,Q14_C92,Q14_C93,Q14_C94,Q14_C95,Q14_C96,Q14_C97,Q14_C98,Q14_C99,Q14_C100,Q14_C101,Q14_C102,Q14_C103,Q14_C104,Q14_C105,Q14_C106,Q14_C107,Q14_C108,Q14_C109,Q14_C110,Q14_C111,Q14_C112,Q14_C113,Q14_C114,Q14_C115,Q14_C116,Q14_C117,Q14_C118,Q14_C119,Q14_C120,Q14_C121,Q14_C122,Q14_C123,Q14_C124,Q14_C125,Q14_C126,Q21_C1,Q21_C2,Q21_C3,Q21_C4,Q21_C5,Q21_C6,Q21_C7,Q21_C8,Q21_C9,Q21_C10,Q21_C11,Q21_C12,Q21_C13,Q21_C14,Q21_C15,Q21_C16,Q21_C17,Q21_C18,Q21_C19,Q21_C20,Q21_C21,Q21_C22,Q21_C23,Q21_C24,Q21_C25,Q21_C26,Q21_C27,Q21_C28,Q21_C29,Q21_C30,Q21_C31,Q21_C32,Q21_C33,Q21_C34,Q21_C35,Q21_C36,Q21_C37,Q21_C38,Q21_C39,Q21_C40,Q21_C41,Q21_C42,Q21_C43,Q21_C44,Q21_C45,Q21_C46,Q21_C47,Q21_C48,Q21_C49,Q21_C50,Q21_C51,Q21_C52,Q21_C53,Q21_C54,Q21_C55,Q21_C56,Q21_C57,Q21_C58,Q21_C59,Q21_C60,Q21_C61,Q21_C62,Q21_C63,Q21_C64,Q21_C65,Q21_C66,Q21_C67,Q21_C68,Q21_C69,Q21_C70,Q21_C71,Q21_C72,Q21_C73,Q21_C74,Q21_C75,Q21_C76,Q21_C77,Q21_C78,Q21_C79,Q21_C80,Q21_C81,Q21_C82,Q21_C83,Q21_C84,Q21_C85,Q21_C86,Q21_C87,Q21_C88,Q21_C89,Q21_C90,Q21_C91,Q21_C92,Q21_C93,Q21_C94,Q21_C95,Q21_C96,Q21_C97,Q21_C98,Q21_C99,Q21_C100,Q21_C101,Q21_C102,Q21_C103,Q21_C104,Q21_C105,Q21_C106,Q21_C107,Q21_C108,Q21_C109,Q21_C110,Q21_C111,Q21_C112,Q21_C113,Q21_C114,Q21_C115,Q21_C116,Q21_C117,Q21_C118,Q21_C119,Q21_C120,Q21_C121,Q21_C122,Q21_C123,Q21_C124,Q21_C125,Q21_C126,Q25_C1,Q25_C2,Q25_C3,Q25_C4,Q25_C5,Q25_C6,Q25_C7,Q25_C8,Q25_C9,Q25_C10,Q25_C11,Q25_C12,Q25_C13,Q25_C14,Q25_C15,Q25_C16,Q25_C17,Q25_C18,Q25_C19,Q25_C20,Q25_C21,Q25_C22,Q25_C23,Q25_C24,Q25_C25,Q25_C26,Q25_C27,Q25_C28,Q25_C29,Q25_C30,Q25_C31,Q25_C32,Q25_C33,Q25_C34,Q25_C35,Q25_C36,Q25_C37,Q25_C38,Q25_C39,Q25_C40,Q25_C41,Q25_C42,Q25_C43,Q25_C44,Q25_C45,Q25_C46,Q25_C47,Q25_C48,Q25_C49,Q25_C50,Q25_C51,Q25_C52,Q25_C53,Q25_C54,Q25_C55,Q25_C56,Q25_C57,Q25_C58,Q25_C59,Q25_C60,Q25_C61,Q25_C62,Q25_C63,Q25_C64,Q25_C65,Q25_C66,Q25_C67,Q25_C68,Q25_C69,Q25_C70,Q25_C71,Q25_C72,Q25_C73,Q25_C74,Q25_C75,Q25_C76,Q25_C77,Q25_C78,Q25_C79,Q25_C80,Q25_C81,Q25_C82,Q25_C83,Q25_C84,Q25_C85,Q25_C86,Q25_C87,Q25_C88,Q25_C89,Q25_C90,Q25_C91,Q25_C92,Q25_C93,Q25_C94,Q25_C95,Q25_C96,Q25_C97,Q25_C98,Q25_C99,Q25_C100,Q25_C101,Q25_C102,Q25_C103,Q25_C104,Q25_C105,Q25_C106,Q25_C107,Q25_C108,Q25_C109,Q25_C110,Q25_C111,Q25_C112,Q25_C113,Q25_C114,Q25_C115,Q25_C116,Q25_C117,Q25_C118,Q25_C119,Q25_C120,Q25_C121,Q25_C122,Q25_C123,Q25_C124,Q25_C125,Q25_C126,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PGC1,Q14_PGC2,Q14_PGC3,Q21_PGC1,Q21_PGC2,Q21_PGC3,Q22_PT1,Q22_PT2,Q22_PT3,Q22_PT4,Q22_PT5,Q22_PT6,Q22_PT7,Q22_PT8,Q22_PT9,Q22_PT10,Q22_PT11,Q22_PT12,Q22_PT13,Q22_PT14,Q22_PT15,Q22_PT16
43,Germany,,1,,3.1393132,28,48.21%,2.0817029,26,44.64%,3.2033785,24,46.00%,3.0284689,3.4333333,,2.5833333,3.3888889,3.25,3.2,,2.45,4.3333333,,1.6666667,3.7962963,,2.0666667,2.7777778,3.5178571,2.9555555,1.9861111,2.9166667,3.6,,,,2.3055555,,3.1333333,,3.8333333,,,2.125,2.3611111,2.3888889,2.4583333,,,2.6984127,,,3.6587302,2.3125,2.6579365,2.4333334,,3.3333333,2.8666667,3.25,,2.3920454,,,,3.1467127,,3.1666667,,,3.7337302,2.875,4.0555555,1.9166667,,2.9166667,4.0041667,3.3888889,3.9220085,,2.3625,,4.625,,3.6666666,3.7142857,3.7111111,2.9375,3.4895833,2.6666667,3.5227273,3.3916667,,3.3392857,3.9166667,2.3777778,2.9641241,,2.6416667,3.3576389,3.4666667,,3.1041666,2.8666667,,,2.2083333,4.9166667,2.327381,,,,2.5555555,,4,2.625,,,4.0714286,,4.9166667,,,3.4,,3.5,2.4166667,,,3.4166667,,,,,3.6181723,2.8333333,,4,2.2967593,2.9847222,,1.2083333,2.2538721,2.7625,2.1083333,2.5,1.6333333,2.8,,1.9125,2.3910256,,1.4166667,2.9861111,2.4667208,3.1534091,2.4137427,1.9702381,1.375,2.2222222,2.25,,2.0277778,,1.9053571,,2.0833333,,,1.7875,1,2.1,2.5,,,1.6854167,,2.25,2.4363782,2.9583333,1.7727273,2.9666667,,1.9166667,2.1880952,2.3166667,0.57142857,1.6303258,,1.8888889,,2.096875,2.2666667,2.6494963,,,3.3221154,,3.0340909,2.8222222,,2.4287879,2.3045343,2.4508929,1.9962293,,2.5104167,,1.9458333,,2.9781746,2.5555556,3.4,1.3452381,2.7051282,2,2.5587607,2.09375,1.6458333,2.6166667,1.75,1.7301587,3.0833333,,2.75,2.2125,2.0297619,,1.9513889,2.34375,,,1.7784091,2.9721154,1.8928571,,,,2.4595238,,1.3888889,1.3555556,,,1.7609428,2.3291667,2.3125,2.5,2.7916667,1.9791667,,2.1,1.7777778,1.2222222,,2.4743507,1.8666667,2.7,1.75,1.9583333,2.8434066,1.9977679,,2.9270833,2.3291667,2.7916667,,,,3.5,2.125,,,,,,3.8,,3,,3.7222222,3.0888889,3.3888889,2.5,,,,,,,3.5,,,,,3.25,,2.4821429,3.6,,,2.8333333,,,3.3913691,2.25,3.05,,,,,,,2.7777778,,,,3.9111111,,3.1875,,,3.4583333,,3.8,,,3.375,3.5185185,3.475,3.6571429,,,,3.6666667,,3.8333333,4,,2.6666667,3.4444445,,3.1666667,2.25,,3.0625,,,3.3888889,,4.2222222,3.2444445,3.7777778,,3.625,3.0380952,,,2.2916667,3.5,2.5833333,,,,2.75,,,,,,3.55,,,,,3.375,,,,,,1.8703704,,,,,3.3172619,2.5,,,3.3605105,3.1866667,3.1521739,3.1061508,3.225,3.2166667,3.3091398,3.0909091,3.2696078,2.5714286,3.6589431,3.054023,3.3968254,3.1666667,3.2576667,3.4166667,3.3712121,2.84375,3.025,3.2783333,4.75,,2.5065476,3.1922749,2.9767746,3.3242915,2.108976,2.2366926,2.5310874,2.138674,1.951331,2.142655,2.053241,1.922047,1.892857,1.825487,2.077867,2.052469,1.621667,2.282407,1.96477,1.994352,2.375,2.039855,1.929825
47,Global_Alliance_for_Vaccines_and_Immunization,1,,,4.0384615,1,0.00%,2.875,5,7.14%,3.8571429,2,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2083333,,,,,,,,,,,,,,,,,,,,4.2083333,,,2.7692308,2.444444,,,,,,,,,,,,,,,
48,Global_Environment_Facility,1,,,3.1592593,27,46.43%,2.6466667,8,12.50%,3.5,8,14.00%,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2.344444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,2.222222,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3.704546,,,,,,,,,,,,,2.8939394,,3.5,1.7361111,,3.5087719,2.615385,1.5,,,,,2.277778,,,,,2.5,,,,
49,Global_Fund_to_Fight_AIDS_Tuberculosis_and_Malaria,1,,,3.9310185,3,3.57%,2.6844017,7,10.71%,3.6666667,4,6.00%,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2.583333,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.888889,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9666667,,,,,,,,,,,,,,,,,,,4.2,4.003125,,,3.0777778,2.487654,2.142857,2.2,,2.285714,,2.666667,2.666667,,,,3.1,,,,
50,Greece,,1,,1.6904762,57,100.00%,1.0321429,54,94.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.625,,,,,,,,,,,
53,India,,,1,2.7741576,38,66.07%,1.3542289,48,83.93%,2.5797101,48,94.00%,2.4047619,,,,,,,,,,3.6666667,,,,2.4444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1666667,,3.5,,,,,,,,,,,1.3333333,2.375,,3,,,,,,,,,,,,2,,,,,,,,,,,3.875,1.7777778,,,,,,,,,,,,,,3.25,,,,,,,,2.5833333,1.9694444,,,,,,,,,,2.5277778,,,,0.33333333,,,,1,,,,,,,1.75,,,0.88888892,,,,,,,,,1.75,,0.625,,,,,,,,,,,,,,,,,,,,,,,,1.0833333,,0.66666666,,,,,,,,,,,0.83333333,1.6666667,,2.2125,,,,,0.83333333,,,,,,,0.33333334,,,,,,,,,,,3.3125,1.0555556,,,,,,,,,,,,,,0.6,,,,,,0.83333333,,0.95833333,3.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7777778,1.6,2.85,2.1666667,3.2272727,2.8333333,3.2878788,,,,,2.3333333,3.2222222,,2.6,,,,2.9333333,,,,2.4,2.5797941,2.7692308,2.9691358,1.3971429,1.8461538,1.6666667,1.19,1.282407,1.694444,0.8333333,1.107843,,0.9259259,1.323529,1.625,0.9375,1.25,0.9732143,1,,1.166667,
56,InterAmerican_Development_Bank,1,,,3.3320408,20,33.93%,3.142818,2,1.79%,3.4818576,9,16.00%,,,,,,,,,3.2875,,,2.2777778,,,2.45,,,,,,,,,,4.0416667,,,,,,,4.0113636,2.7777778,,3.3333333,,,,,,,,2.9866071,,,4,2.916667,3.511905,,,,,4.305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.766667,,,,,,3.791667,3.354167,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69375,,,3.15625,,,1.8958333,,,,,,,,,,2.5625,,,,,,,3.40625,1.180556,,3.257143,,,,,,,,3.115079,,,3.354167,2.985684,3.846726,,,,,3.940476,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,3.958333,3.060119,,,,,,,,,,,,,,,,,3.622222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1666667,,,,,,2.333333,,,,,,,,,,3.833333,,,,,,,3.983333,3.333333,,3.5,,,,,,,,3.275,,,3.666667,3.783333,3.5,,,,,4.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.375,,,,,,3.9375,3.1,,,,,,,,,,,,,,,,,3.388889,,,,,,,,,,,,,,,,,,,,,,4.1166667,3.5625,3.4861111,3.2222222,2.4722222,2.6666667,4.7,,3.1875,,3.047619,2.8571429,,,4.0714286,,2.875,,3.06,2.2,,,4.5714286,3.5620779,3.2946429,3.3448718,3.419127,2.7113946,3.3023809,2.884921,2.825,2.861111,4.1,3.181624,,2.903704,3.5,2.555556,3.758333,2.96875,2.988095,3.541667,,3.796296,
57,International_Fund_for_Agricultural_Development,1,,,3.0398551,30,51.79%,2.0694444,28,48.21%,3.5192308,7,12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2.7916667,,3.625,1.1851852,,3.4090909,,,,,,,,,,,,,,,,
58,International_Monetary_Fund,1,,,3.6379898,7,10.71%,3.0629135,3,3.57%,3.7713155,3,4.00%,3.45625,3.7222222,,4.7,,,2.875,,,,,,3.25,,2.75,,3.75,3.9111111,2.7083333,2.6111111,,3.75,4,,,4.6666667,3.0666667,,,,,3.125,,,3.0833333,,,3.6666667,,3.375,4.2916667,2.5,3.3333334,4.45,,,3.1666667,3,,3.3333334,,,3.5,3.8222222,,3.4166667,,,4.2777778,,4.1875,,,4,4.6666667,3.3333333,2.9875,,4.2916667,,4.3333333,,3.6,,,4.1875,4.25,3.5,,3.9,4.4,3.9166667,3.8333333,,3.4444445,,4.1,2.9166667,4.3611111,,3.8333333,3.2222222,,,3.8333333,,4.125,3.1,,,,,,3.1111111,,,,,4.5,,,,3.3333333,4.5555556,3.4444444,,,4.4166667,,,4,,3.25,4.0444444,,,3.6547619,3.7666667,,3.1111111,3.8083333,3.25,2.0833333,,,3.0625,,2.375,3.625,,2.5,2.5833333,3.6458333,3.4625,3.1666667,3.3611111,3.5,3.3333333,3.2916667,,2.125,4.4444444,2.7777777,,3.25,,2.7777778,3.7592593,,,2.65,,,3.05,3.125,4.0208333,3.7875,3.5357143,3.2777777,3.8777778,4.3888889,2.8333333,3.6875,3.4166667,3.1666667,2.8125,,2.2916667,4.125,3.2878788,,3.6458333,,,3.3523809,,3.7857143,,,3.7333333,2.7638889,2.6011905,3.58125,,3.7916667,,3.8,,4.0357143,2.5,,3.3125,3.275,,,3.2777778,3.8055556,3.9375,3.4583333,3.3333333,3.4333333,,3.5238095,2.9166667,3.2055556,,,3.2916667,3.8333333,3.1666667,3.625,4.0833333,4.2083333,3.8,,,,,3.4166667,3.5416667,,,3.3333333,2.6333333,2.625,,2.3055555,3.15,2.6666667,4.25,3.7111111,,,3.6,,,1.9,,2.4041667,3.6333333,,3.1666667,3.1222222,,,,,,,,,,,,,,2.5555555,,3.7222222,4.0333333,4,4.1666667,,,,,,3.9166667,,,,,,4.375,,,,,,4.1111111,,,4.6875,,3.25,4.125,4.4444444,,3.6666667,,,,,,3.9333333,3.75,,4.1666667,,,,,3.5833333,,,3.7,4.1111111,3.6666667,4.5138889,,3.8333333,,3.9777778,,4.2055556,,,,4.25,,,3.25,4.375,4.6666667,3.3333334,,4,,4.4166667,,4.45,,,3.9444444,,,3.4444444,,,,,,,,,,,,,,4.2857143,,,,,,3.0833333,,,3.875,,,,,,3.5555556,,,4.2846667,4.195122,3.175,3.5238095,3.3478261,2.8571429,2.4444444,,3.5833333,2.8,3.8571429,2.85,3.4666667,,3.1176471,,3.4166667,3.3333333,3.21875,2.9333333,4.3833333,3.8076923,3.95,3.916266,3.7329545,3.0703704,3.5631794,3.4420996,2.6190476,2.819672,3.278889,3.180556,3.375,3.20754,3.428571,3.511594,2.736395,2.453125,3.269231,2.958333,3.585069,2.935484,3.321429,3.5,2.807692
59,Iran,,,1,2.15681,55,96.43%,0.8484127,56,98.21%,,,,1.6111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666667,,,,,,,,,,,,,,,,,,2.0151515,2.6111111,2.2777778,1.037037,1.25,1.0769231,0.7142857,,,,0.5555556,,,,1.1,,,,,,,
61,Ireland,,1,,3.5138889,11,17.86%,2.2638889,23,39.29%,4.1458333,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9166667,3.875,,3.75,2.75,,,,,1.857143,,,,,,,,,,,
64,Islamic_Development_Bank,1,,,2.8049887,36,62.50%,1.640942,40,69.64%,3.1290323,26,50.00%,2.5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2.5,,,,2.1388889,,,,,,,3.3333333,,,,,,,,2.15,,4.0416667,,,,,1.8095238,,,,,,1.875,,1.5555556,2.2291667,,,,,,,,,,,,,,,,,,,2.3611111,,,,,,,,,,,,,,3.5,,,,,2.2777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90625,2.375,2.4375,,3.45,2.5,2.6363636,,,,,2.452381,3.25,,3.3636364,,,,,,,,2.6666667,2.9337054,2.3888889,2.6704545,1.5892473,0.72727273,2.05,1.884921,1.5625,2,1.666667,1.641026,,1.302632,1.964286,1.714286,,1.428571,2.086539,1.3,,,
65,Japan,,1,,3.0359335,31,53.57%,1.8318674,32,55.36%,3.0543869,29,56.00%,2.7394231,,,3.0625,,,3.6666667,,3.8888889,4.5555556,3.6666667,1.1,3.7222222,,2.95,1.2,3.7,2.4166667,2.1503247,2.75,3.5,,,,2.1333333,3.75,3.1166666,,,,,3.25,1.7333333,2.2291667,2.75,,,3.6555556,4.6,4.75,3.36875,3.2361111,2.3583333,,,,3.0777778,2.5555556,3.625,3.1220238,,2.4166667,4,2.8662879,,3.89375,2.0833333,,2.3333333,2.7,4.1388889,3.25,,2.8488095,3.1071429,2.7291667,3.21875,,2.6041667,3.5833333,4,,2.7708333,3.9861111,,2.4305556,3.4166667,3.1458333,,2.8939394,,2.6,4.5555556,2.3611111,2.5083333,3.1428571,2.3833334,3.0398809,3.8958333,,3.4444445,2.5833333,3.4,,2.5375,5,,3.6888889,,,,2.8888889,2.7857143,2.5555556,,,3.0833333,,4.6,3,3.1333333,2.75,3.6,,1.625,,3.7,3.7148148,,,2.162037,4,2.0555556,3.038961,,3.75,2.3875262,,,1.1041667,1.5,1.75,2.2026786,,2.9761905,1.7083333,1.9333333,2.0111111,1.8666667,,1.5833333,1.5,1.2954545,2.2166667,2.5213546,2.65,1.5,1.1111111,,,1.5555556,2.625,1.6952381,,2.7361111,,1.3333333,1.7916667,1.1111111,1.1742424,1.6494048,,,1.75,2.2083333,2.0714286,1.3222223,3.6428572,1.5000001,2.6666667,1.1666667,,1.7147436,2.1166667,1.5555556,2.1125,,2.1833333,,1.7571429,2.1666667,2.5611111,2.3125,,0.72916667,,1.7222222,3.1804714,,1.825,1.6666667,2.0888889,1.4508928,1.5,1.4583333,3.2222222,1.375,0.66666667,2.4375,2.9102564,,1.1,2.8125,3.1666667,1.3888889,1.4,1.9444444,1.8095238,2.625,1.6770833,2.7556818,2.5833333,2.5708333,1.5142857,2.4935606,,1.3333333,2.09375,0.8125,,1.6083333,2.2083333,1.5,2.6388889,,,,2.0555555,2.1477273,2.1666667,,,1.21875,2.55,2.5416667,1.5,2.1240385,1.0555556,1.425,0.65000001,0.6875,,2.1833333,2.094697,,2.1111111,1.6904762,3.3125,1.2951389,1.2765568,,2.25,2.6892857,,,,,,2.5,,,,3.9166667,,,,,,2.8666666,2.3333333,3.5232804,,,,,,,,,,,,,2.7708333,,2.5714286,,,,2.0555555,,,,3.7083334,,,,,,,,3.4404762,,,,2.825,,3.6125,,,,,,4,,3.3333333,4.75,3.9305556,3.1666667,,,,2.8333333,,3.3333334,4.2,,3.75,,3.5625,,2.1309524,,,,2.2222222,3,3.5,3.8055556,3.1666667,3.8055556,,,3,,,,,,2.9166667,,,,3,3.375,,,,,,3.4,3,2.875,,3.75,,,,,2.1111111,,,3.4583333,,2.2,3.0555556,,,2.928842,2.7675439,2.9702381,2.4710145,2.875,3.222619,3.5063596,2.8333333,2.9768518,3.4,3.3854701,3.2844444,3.1944444,3,3.2240079,3.125,2.2878788,3.6851852,3.0515873,2.8333333,2.4166667,3.8,2.95,2.976541,2.9570567,3.3722451,1.8695962,1.7719264,2.2402229,1.782837,1.611343,1.60625,1.623737,1.570933,1.821429,1.537165,1.72904,2.118056,1.252222,1.819048,1.502197,1.777778,1.96875,2.16523,1.494792
69,Kuwait,,,1,2.3134579,51,89.29%,1.0383065,53,92.86%,2.3875,51,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,3,,1.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2222222,,,,,,,,2.375,,,,,,,,,,,2.75,,,,1.4166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,0.16666667,,,,,,,,,,2.5833334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8333333,,,,,,,,1.25,,,,,,,,,,,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1153846,2.1428571,,,2.8333333,2.5833333,,,,,2,1.9861111,,,3.1363636,,,,,,,,2,2.4594595,2.1818182,2.1568627,1.1095238,0.65384615,1.2892157,0.8858024,0.75,1.5,,0.4090909,,1.426471,1.444444,1.0625,,1.166667,0.75,0.3333333,,,
